"STATISTIC Label","Year","Type of Offence","UNIT","VALUE"
"Recorded crime incidents","2014","Human trafficking offences","Number","31"
"Recorded crime incidents","2014","Robbery, extortion and hijacking offences","Number","2649"
"Recorded crime incidents","2014","Robbery of an establishment or institution","Number","848"
"Recorded crime incidents","2014","Robbery of cash or goods in transit","Number","26"
"Recorded crime incidents","2014","Robbery from the person","Number","1654"
"Recorded crime incidents","2014","Blackmail or extortion","Number","22"
"Recorded crime incidents","2014","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","99"
"Recorded crime incidents","2014","Burglary and related offences","Number","27709"
"Recorded crime incidents","2014","Aggravated burglary","Number","315"
"Recorded crime incidents","2014","Burglary (not aggravated)","Number","26751"
"Recorded crime incidents","2014","Possession of an article (with intent to burgle, steal, demand)","Number","643"
"Recorded crime incidents","2014","Theft and related offences","Number","77679"
"Recorded crime incidents","2014","Theft/taking of vehicle and related offences","Number","7762"
"Recorded crime incidents","2014","Theft from person","Number","5469"
"Recorded crime incidents","2014","Theft from shop","Number","20878"
"Recorded crime incidents","2014","Other thefts, handling stolen property","Number","43570"
"Recorded crime incidents","2014","Fraud, deception and related offences","Number","5163"
"Recorded crime incidents","2014","Controlled drug offences","Number","15855"
"Recorded crime incidents","2014","Importation of drugs","Number","30"
"Recorded crime incidents","2014","Cultivation or manufacture of drugs","Number","345"
"Recorded crime incidents","2014","Possession of drugs for sale or supply","Number","3561"
"Recorded crime incidents","2014","Possession of drugs for personal use","Number","11239"
"Recorded crime incidents","2014","Other drug offences","Number","680"
"Recorded crime incidents","2014","Weapons and Explosives Offences","Number","2473"
"Recorded crime incidents","2014","Explosives, chemical weapons offences","Number","50"
"Recorded crime incidents","2014","Discharging a firearm","Number","134"
"Recorded crime incidents","2014","Possession of a firearm","Number","197"
"Recorded crime incidents","2014","Offensive weapons offences (n.e.c.)","Number","1978"
"Recorded crime incidents","2014","Fireworks offences","Number","114"
"Recorded crime incidents","2014","Damage to property and to the environment","Number","27332"
"Recorded crime incidents","2014","Arson","Number","1721"
"Recorded crime incidents","2014","Criminal damage (not arson)","Number","25347"
"Recorded crime incidents","2014","Litter offences","Number","264"
"Recorded crime incidents","2014","Public order and other social code offences","Number","32604"
"Recorded crime incidents","2014","Disorderly conduct","Number","26792"
"Recorded crime incidents","2014","Trespass offences","Number","2814"
"Recorded crime incidents","2014","Liquor licensing offences","Number","1272"
"Recorded crime incidents","2014","Prostitution offences","Number","129"
"Recorded crime incidents","2014","Regulated betting/money, collection/trading offences","Number","293"
"Recorded crime incidents","2014","Social code offences (n.e.c.)","Number","1304"
"Recorded crime incidents","2014","Offences against government, justice procedures and organisation of crime","Number","9781"
"Recorded crime incidents","2014","Offences against government and its agents","Number","325"
"Recorded crime incidents","2014","Organisation of crime and conspiracy to commit crime","Number","4"
"Recorded crime incidents","2014","Perverting the course of justice","Number","55"
"Recorded crime incidents","2014","Offences while in custody, breach of court orders","Number","9397"
"Recorded crime incidents","2015","Homicide offences","Number","84"
"Recorded crime incidents","2015","Murder","Number","27"
"Recorded crime incidents","2015","Manslaughter","Number","10"
"Recorded crime incidents","2015","Infanticide","Number","0"
"Recorded crime incidents","2015","Dangerous driving leading to death","Number","47"
"Recorded crime incidents","2015","Sexual offences","Number","2291"
"Recorded crime incidents","2015","Rape of a male or female","Number","519"
"Recorded crime incidents","2015","Defilement of a boy or girl less than 17 years old","Number","130"
"Recorded crime incidents","2015","Sexual offence involving mentally impaired person","Number","23"
"Recorded crime incidents","2015","Aggravated sexual assault","Number","9"
"Recorded crime incidents","2015","Sexual assault (not aggravated)","Number","1402"
"Recorded crime incidents","2015","Other sexual offences","Number","208"
"Recorded crime incidents","2015","Attempts/threats to murder, assaults, harassments and related offences","Number","16917"
"Recorded crime incidents","2015","Murder-attempt","Number","13"
"Recorded crime incidents","2015","Threat to kill or cause serious harm","Number","589"
"Recorded crime incidents","2015","Harassment and related offences","Number","1514"
"Recorded crime incidents","2015","Assault causing harm, poisoning","Number","3515"
"Recorded crime incidents","2015","Other assault","Number","11286"
"Recorded crime incidents","2015","Dangerous or negligent acts","Number","7118"
"Recorded crime incidents","2015","Dangerous driving causing serious bodily harm","Number","12"
"Recorded crime incidents","2015","Driving/in charge of a vehicle while over legal alcohol limit","Number","6415"
"Recorded crime incidents","2015","Driving/in charge of a vehicle under the influence of drugs","Number","221"
"Recorded crime incidents","2015","Endangerment with potential for serious harm/death","Number","97"
"Recorded crime incidents","2015","Abandoning a child, child neglect and cruelty","Number","168"
"Recorded crime incidents","2015","Unseaworthy/dangerous use of boat or ship","Number","7"
"Recorded crime incidents","2015","False alarm/interference with aircraft or air transport facilities","Number","2"
"Recorded crime incidents","2015","Endangering traffic offences","Number","196"
"Recorded crime incidents","2015","Kidnapping and related offences","Number","151"
"Recorded crime incidents","2015","False imprisonment","Number","94"
"Recorded crime incidents","2015","Abduction of person under 16 years of age","Number","29"
"Recorded crime incidents","2015","Human trafficking offences","Number","28"
"Recorded crime incidents","2015","Robbery, extortion and hijacking offences","Number","2574"
"Recorded crime incidents","2015","Robbery of an establishment or institution","Number","928"
"Recorded crime incidents","2015","Robbery of cash or goods in transit","Number","18"
"Recorded crime incidents","2015","Robbery from the person","Number","1477"
"Recorded crime incidents","2015","Blackmail or extortion","Number","54"
"Recorded crime incidents","2015","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","97"
"Recorded crime incidents","2015","Burglary and related offences","Number","26321"
"Recorded crime incidents","2015","Aggravated burglary","Number","268"
"Recorded crime incidents","2015","Burglary (not aggravated)","Number","25457"
"Recorded crime incidents","2015","Possession of an article (with intent to burgle, steal, demand)","Number","596"
"Recorded crime incidents","2015","Theft and related offences","Number","75736"
"Recorded crime incidents","2015","Theft/taking of vehicle and related offences","Number","6446"
"Recorded crime incidents","2015","Theft from person","Number","5374"
"Recorded crime incidents","2015","Theft from shop","Number","22653"
"Recorded crime incidents","2015","Other thefts, handling stolen property","Number","41263"
"Recorded crime incidents","2015","Fraud, deception and related offences","Number","5791"
"Recorded crime incidents","2015","Controlled drug offences","Number","15046"
"Recorded crime incidents","2015","Importation of drugs","Number","19"
"Recorded crime incidents","2015","Cultivation or manufacture of drugs","Number","240"
"Recorded crime incidents","2015","Possession of drugs for sale or supply","Number","3365"
"Recorded crime incidents","2015","Possession of drugs for personal use","Number","10928"
"Recorded crime incidents","2015","Other drug offences","Number","494"
"Recorded crime incidents","2015","Weapons and Explosives Offences","Number","2375"
"Recorded crime incidents","2015","Explosives, chemical weapons offences","Number","29"
"Recorded crime incidents","2015","Discharging a firearm","Number","151"
"Recorded crime incidents","2015","Possession of a firearm","Number","207"
"Recorded crime incidents","2015","Offensive weapons offences (n.e.c.)","Number","1893"
"Recorded crime incidents","2015","Fireworks offences","Number","95"
"Recorded crime incidents","2015","Damage to property and to the environment","Number","25941"
"Recorded crime incidents","2015","Arson","Number","1721"
"Recorded crime incidents","2015","Criminal damage (not arson)","Number","24037"
"Recorded crime incidents","2015","Litter offences","Number","183"
"Recorded crime incidents","2015","Public order and other social code offences","Number","33251"
"Recorded crime incidents","2015","Disorderly conduct","Number","25486"
"Recorded crime incidents","2015","Trespass offences","Number","2743"
"Recorded crime incidents","2015","Liquor licensing offences","Number","1078"
"Recorded crime incidents","2015","Prostitution offences","Number","57"
"Recorded crime incidents","2015","Regulated betting/money, collection/trading offences","Number","291"
"Recorded crime incidents","2015","Social code offences (n.e.c.)","Number","3596"
"Recorded crime incidents","2015","Offences against government, justice procedures and organisation of crime","Number","11481"
"Recorded crime incidents","2015","Offences against government and its agents","Number","282"
"Recorded crime incidents","2015","Organisation of crime and conspiracy to commit crime","Number","10"
"Recorded crime incidents","2015","Perverting the course of justice","Number","59"
"Recorded crime incidents","2015","Offences while in custody, breach of court orders","Number","11130"
"Recorded crime incidents","2016","Homicide offences","Number","87"
"Recorded crime incidents","2016","Murder","Number","33"
"Recorded crime incidents","2016","Manslaughter","Number","9"
"Recorded crime incidents","2016","Infanticide","Number","0"
"Recorded crime incidents","2016","Dangerous driving leading to death","Number","45"
"Recorded crime incidents","2016","Sexual offences","Number","2519"
"Recorded crime incidents","2016","Rape of a male or female","Number","517"
"Recorded crime incidents","2016","Defilement of a boy or girl less than 17 years old","Number","161"
"Recorded crime incidents","2016","Sexual offence involving mentally impaired person","Number","19"
"Recorded crime incidents","2016","Aggravated sexual assault","Number","9"
"Recorded crime incidents","2016","Sexual assault (not aggravated)","Number","1521"
"Recorded crime incidents","2016","Other sexual offences","Number","292"
"Recorded crime incidents","2016","Attempts/threats to murder, assaults, harassments and related offences","Number","16723"
"Recorded crime incidents","2016","Murder-attempt","Number","24"
"Recorded crime incidents","2016","Threat to kill or cause serious harm","Number","596"
"Recorded crime incidents","2016","Harassment and related offences","Number","1397"
"Recorded crime incidents","2016","Assault causing harm, poisoning","Number","3641"
"Recorded crime incidents","2016","Other assault","Number","11065"
"Recorded crime incidents","2016","Dangerous or negligent acts","Number","7690"
"Recorded crime incidents","2016","Dangerous driving causing serious bodily harm","Number","9"
"Recorded crime incidents","2016","Driving/in charge of a vehicle while over legal alcohol limit","Number","6925"
"Recorded crime incidents","2016","Driving/in charge of a vehicle under the influence of drugs","Number","217"
"Recorded crime incidents","2016","Endangerment with potential for serious harm/death","Number","106"
"Recorded crime incidents","2016","Abandoning a child, child neglect and cruelty","Number","267"
"Recorded crime incidents","2016","Unseaworthy/dangerous use of boat or ship","Number","1"
"Recorded crime incidents","2016","False alarm/interference with aircraft or air transport facilities","Number","3"
"Recorded crime incidents","2016","Endangering traffic offences","Number","162"
"Recorded crime incidents","2016","Kidnapping and related offences","Number","125"
"Recorded crime incidents","2016","False imprisonment","Number","72"
"Recorded crime incidents","2016","Abduction of person under 16 years of age","Number","27"
"Recorded crime incidents","2016","Human trafficking offences","Number","26"
"Recorded crime incidents","2016","Robbery, extortion and hijacking offences","Number","2108"
"Recorded crime incidents","2016","Robbery of an establishment or institution","Number","701"
"Recorded crime incidents","2016","Robbery of cash or goods in transit","Number","28"
"Recorded crime incidents","2016","Robbery from the person","Number","1229"
"Recorded crime incidents","2016","Blackmail or extortion","Number","69"
"Recorded crime incidents","2016","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","81"
"Recorded crime incidents","2016","Burglary and related offences","Number","18586"
"Recorded crime incidents","2016","Aggravated burglary","Number","211"
"Recorded crime incidents","2016","Burglary (not aggravated)","Number","17892"
"Recorded crime incidents","2016","Possession of an article (with intent to burgle, steal, demand)","Number","483"
"Recorded crime incidents","2016","Theft and related offences","Number","64485"
"Recorded crime incidents","2016","Theft/taking of vehicle and related offences","Number","4547"
"Recorded crime incidents","2016","Theft from person","Number","4751"
"Recorded crime incidents","2016","Theft from shop","Number","21492"
"Recorded crime incidents","2016","Other thefts, handling stolen property","Number","33695"
"Recorded crime incidents","2016","Fraud, deception and related offences","Number","4926"
"Recorded crime incidents","2016","Controlled drug offences","Number","16017"
"Recorded crime incidents","2016","Importation of drugs","Number","28"
"Recorded crime incidents","2016","Cultivation or manufacture of drugs","Number","262"
"Recorded crime incidents","2016","Possession of drugs for sale or supply","Number","3622"
"Recorded crime incidents","2016","Possession of drugs for personal use","Number","11392"
"Recorded crime incidents","2016","Other drug offences","Number","713"
"Recorded crime incidents","2016","Weapons and Explosives Offences","Number","2134"
"Recorded crime incidents","2016","Explosives, chemical weapons offences","Number","14"
"Recorded crime incidents","2016","Discharging a firearm","Number","101"
"Recorded crime incidents","2016","Possession of a firearm","Number","198"
"Recorded crime incidents","2016","Offensive weapons offences (n.e.c.)","Number","1687"
"Recorded crime incidents","2016","Fireworks offences","Number","134"
"Recorded crime incidents","2016","Damage to property and to the environment","Number","22170"
"Recorded crime incidents","2016","Arson","Number","1597"
"Recorded crime incidents","2016","Criminal damage (not arson)","Number","20403"
"Recorded crime incidents","2016","Litter offences","Number","170"
"Recorded crime incidents","2016","Public order and other social code offences","Number","29201"
"Recorded crime incidents","2016","Disorderly conduct","Number","24085"
"Recorded crime incidents","2016","Trespass offences","Number","2081"
"Recorded crime incidents","2016","Liquor licensing offences","Number","904"
"Recorded crime incidents","2016","Prostitution offences","Number","34"
"Recorded crime incidents","2016","Regulated betting/money, collection/trading offences","Number","208"
"Recorded crime incidents","2016","Social code offences (n.e.c.)","Number","1889"
"Recorded crime incidents","2016","Offences against government, justice procedures and organisation of crime","Number","12373"
"Recorded crime incidents","2016","Offences against government and its agents","Number","253"
"Recorded crime incidents","2016","Organisation of crime and conspiracy to commit crime","Number","11"
"Recorded crime incidents","2016","Perverting the course of justice","Number","52"
"Recorded crime incidents","2016","Offences while in custody, breach of court orders","Number","12057"
"Recorded crime incidents","2017","Homicide offences","Number","96"
"Recorded crime incidents","2017","Murder","Number","37"
"Recorded crime incidents","2017","Manslaughter","Number","10"
"Recorded crime incidents","2017","Infanticide","Number","0"
"Recorded crime incidents","2017","Dangerous driving leading to death","Number","49"
"Recorded crime incidents","2017","Sexual offences","Number","2886"
"Recorded crime incidents","2017","Rape of a male or female","Number","656"
"Recorded crime incidents","2017","Defilement of a boy or girl less than 17 years old","Number","159"
"Recorded crime incidents","2017","Sexual offence involving mentally impaired person","Number","29"
"Recorded crime incidents","2017","Aggravated sexual assault","Number","6"
"Recorded crime incidents","2017","Sexual assault (not aggravated)","Number","1686"
"Recorded crime incidents","2017","Other sexual offences","Number","350"
"Recorded crime incidents","2017","Attempts/threats to murder, assaults, harassments and related offences","Number","18993"
"Recorded crime incidents","2017","Murder-attempt","Number","13"
"Recorded crime incidents","2017","Threat to kill or cause serious harm","Number","750"
"Recorded crime incidents","2017","Harassment and related offences","Number","1603"
"Recorded crime incidents","2017","Assault causing harm, poisoning","Number","4105"
"Recorded crime incidents","2017","Other assault","Number","12522"
"Recorded crime incidents","2017","Dangerous or negligent acts","Number","8367"
"Recorded crime incidents","2017","Dangerous driving causing serious bodily harm","Number","14"
"Recorded crime incidents","2017","Driving/in charge of a vehicle while over legal alcohol limit","Number","7359"
"Recorded crime incidents","2017","Driving/in charge of a vehicle under the influence of drugs","Number","280"
"Recorded crime incidents","2017","Endangerment with potential for serious harm/death","Number","114"
"Recorded crime incidents","2017","Abandoning a child, child neglect and cruelty","Number","384"
"Recorded crime incidents","2017","Unseaworthy/dangerous use of boat or ship","Number","4"
"Recorded crime incidents","2017","False alarm/interference with aircraft or air transport facilities","Number","6"
"Recorded crime incidents","2017","Endangering traffic offences","Number","206"
"Recorded crime incidents","2017","Kidnapping and related offences","Number","131"
"Recorded crime incidents","2017","False imprisonment","Number","79"
"Recorded crime incidents","2017","Abduction of person under 16 years of age","Number","21"
"Recorded crime incidents","2017","Human trafficking offences","Number","31"
"Recorded crime incidents","2017","Robbery, extortion and hijacking offences","Number","2184"
"Recorded crime incidents","2017","Robbery of an establishment or institution","Number","716"
"Recorded crime incidents","2017","Robbery of cash or goods in transit","Number","15"
"Recorded crime incidents","2017","Robbery from the person","Number","1286"
"Recorded crime incidents","2017","Blackmail or extortion","Number","75"
"Recorded crime incidents","2017","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","92"
"Recorded crime incidents","2017","Burglary and related offences","Number","19208"
"Recorded crime incidents","2017","Aggravated burglary","Number","229"
"Recorded crime incidents","2017","Burglary (not aggravated)","Number","18543"
"Recorded crime incidents","2017","Possession of an article (with intent to burgle, steal, demand)","Number","436"
"Recorded crime incidents","2017","Theft and related offences","Number","69271"
"Recorded crime incidents","2017","Theft/taking of vehicle and related offences","Number","4594"
"Recorded crime incidents","2017","Theft from person","Number","4937"
"Recorded crime incidents","2017","Theft from shop","Number","22791"
"Recorded crime incidents","2017","Other thefts, handling stolen property","Number","36949"
"Recorded crime incidents","2017","Fraud, deception and related offences","Number","5402"
"Recorded crime incidents","2017","Controlled drug offences","Number","16756"
"Recorded crime incidents","2017","Importation of drugs","Number","21"
"Recorded crime incidents","2017","Cultivation or manufacture of drugs","Number","247"
"Recorded crime incidents","2017","Possession of drugs for sale or supply","Number","3839"
"Recorded crime incidents","2017","Possession of drugs for personal use","Number","12157"
"Recorded crime incidents","2017","Other drug offences","Number","492"
"Recorded crime incidents","2017","Weapons and Explosives Offences","Number","2378"
"Recorded crime incidents","2017","Explosives, chemical weapons offences","Number","35"
"Recorded crime incidents","2017","Discharging a firearm","Number","93"
"Recorded crime incidents","2017","Possession of a firearm","Number","211"
"Recorded crime incidents","2017","Offensive weapons offences (n.e.c.)","Number","1855"
"Recorded crime incidents","2017","Fireworks offences","Number","184"
"Recorded crime incidents","2017","Damage to property and to the environment","Number","23135"
"Recorded crime incidents","2017","Arson","Number","1697"
"Recorded crime incidents","2017","Criminal damage (not arson)","Number","21275"
"Recorded crime incidents","2017","Litter offences","Number","163"
"Recorded crime incidents","2017","Public order and other social code offences","Number","31176"
"Recorded crime incidents","2017","Disorderly conduct","Number","25338"
"Recorded crime incidents","2017","Trespass offences","Number","2367"
"Recorded crime incidents","2017","Liquor licensing offences","Number","826"
"Recorded crime incidents","2017","Prostitution offences","Number","39"
"Recorded crime incidents","2017","Regulated betting/money, collection/trading offences","Number","212"
"Recorded crime incidents","2017","Social code offences (n.e.c.)","Number","2394"
"Recorded crime incidents","2017","Offences against government, justice procedures and organisation of crime","Number","13871"
"Recorded crime incidents","2017","Offences against government and its agents","Number","182"
"Recorded crime incidents","2017","Organisation of crime and conspiracy to commit crime","Number","9"
"Recorded crime incidents","2017","Perverting the course of justice","Number","55"
"Recorded crime incidents","2017","Offences while in custody, breach of court orders","Number","13625"
"Recorded crime incidents","2018","Homicide offences","Number","88"
"Recorded crime incidents","2018","Murder","Number","37"
"Recorded crime incidents","2018","Manslaughter","Number","11"
"Recorded crime incidents","2018","Infanticide","Number","0"
"Recorded crime incidents","2018","Dangerous driving leading to death","Number","40"
"Recorded crime incidents","2018","Sexual offences","Number","3214"
"Recorded crime incidents","2018","Rape of a male or female","Number","808"
"Recorded crime incidents","2018","Defilement of a boy or girl less than 17 years old","Number","182"
"Recorded crime incidents","2018","Sexual offence involving mentally impaired person","Number","43"
"Recorded crime incidents","2018","Aggravated sexual assault","Number","12"
"Recorded crime incidents","2018","Sexual assault (not aggravated)","Number","1763"
"Recorded crime incidents","2018","Other sexual offences","Number","406"
"Recorded crime incidents","2018","Attempts/threats to murder, assaults, harassments and related offences","Number","20187"
"Recorded crime incidents","2018","Murder-attempt","Number","14"
"Recorded crime incidents","2018","Threat to kill or cause serious harm","Number","1066"
"Recorded crime incidents","2018","Harassment and related offences","Number","1649"
"Recorded crime incidents","2018","Assault causing harm, poisoning","Number","4556"
"Recorded crime incidents","2018","Other assault","Number","12902"
"Recorded crime incidents","2018","Dangerous or negligent acts","Number","8560"
"Recorded crime incidents","2018","Dangerous driving causing serious bodily harm","Number","31"
"Recorded crime incidents","2018","Driving/in charge of a vehicle while over legal alcohol limit","Number","7079"
"Recorded crime incidents","2018","Driving/in charge of a vehicle under the influence of drugs","Number","526"
"Recorded crime incidents","2018","Endangerment with potential for serious harm/death","Number","209"
"Recorded crime incidents","2018","Abandoning a child, child neglect and cruelty","Number","350"
"Recorded crime incidents","2018","Unseaworthy/dangerous use of boat or ship","Number","2"
"Recorded crime incidents","2018","False alarm/interference with aircraft or air transport facilities","Number","0"
"Recorded crime incidents","2018","Endangering traffic offences","Number","363"
"Recorded crime incidents","2018","Kidnapping and related offences","Number","135"
"Recorded crime incidents","2018","False imprisonment","Number","85"
"Recorded crime incidents","2018","Abduction of person under 16 years of age","Number","17"
"Recorded crime incidents","2018","Human trafficking offences","Number","33"
"Recorded crime incidents","2018","Robbery, extortion and hijacking offences","Number","2447"
"Recorded crime incidents","2018","Robbery of an establishment or institution","Number","675"
"Recorded crime incidents","2018","Robbery of cash or goods in transit","Number","22"
"Recorded crime incidents","2018","Robbery from the person","Number","1484"
"Recorded crime incidents","2018","Blackmail or extortion","Number","144"
"Recorded crime incidents","2018","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","122"
"Recorded crime incidents","2018","Burglary and related offences","Number","16958"
"Recorded crime incidents","2018","Aggravated burglary","Number","252"
"Recorded crime incidents","2018","Burglary (not aggravated)","Number","16373"
"Recorded crime incidents","2018","Possession of an article (with intent to burgle, steal, demand)","Number","333"
"Recorded crime incidents","2018","Theft and related offences","Number","66939"
"Recorded crime incidents","2018","Theft/taking of vehicle and related offences","Number","4706"
"Recorded crime incidents","2018","Theft from person","Number","4537"
"Recorded crime incidents","2018","Theft from shop","Number","23632"
"Recorded crime incidents","2018","Other thefts, handling stolen property","Number","34064"
"Recorded crime incidents","2018","Fraud, deception and related offences","Number","6308"
"Recorded crime incidents","2018","Controlled drug offences","Number","18274"
"Recorded crime incidents","2018","Importation of drugs","Number","15"
"Recorded crime incidents","2018","Cultivation or manufacture of drugs","Number","199"
"Recorded crime incidents","2018","Possession of drugs for sale or supply","Number","4135"
"Recorded crime incidents","2018","Possession of drugs for personal use","Number","13382"
"Recorded crime incidents","2018","Other drug offences","Number","543"
"Recorded crime incidents","2018","Weapons and Explosives Offences","Number","2442"
"Recorded crime incidents","2018","Explosives, chemical weapons offences","Number","35"
"Recorded crime incidents","2018","Discharging a firearm","Number","90"
"Recorded crime incidents","2018","Possession of a firearm","Number","188"
"Recorded crime incidents","2018","Offensive weapons offences (n.e.c.)","Number","1961"
"Recorded crime incidents","2018","Fireworks offences","Number","168"
"Recorded crime incidents","2018","Damage to property and to the environment","Number","21515"
"Recorded crime incidents","2018","Arson","Number","1676"
"Recorded crime incidents","2018","Criminal damage (not arson)","Number","19689"
"Recorded crime incidents","2018","Litter offences","Number","150"
"Recorded crime incidents","2018","Public order and other social code offences","Number","31964"
"Recorded crime incidents","2018","Disorderly conduct","Number","26938"
"Recorded crime incidents","2018","Trespass offences","Number","2191"
"Recorded crime incidents","2018","Liquor licensing offences","Number","580"
"Recorded crime incidents","2018","Prostitution offences","Number","37"
"Recorded crime incidents","2018","Regulated betting/money, collection/trading offences","Number","154"
"Recorded crime incidents","2018","Social code offences (n.e.c.)","Number","2064"
"Recorded crime incidents","2018","Offences against government, justice procedures and organisation of crime","Number","16585"
"Recorded crime incidents","2018","Offences against government and its agents","Number","202"
"Recorded crime incidents","2018","Organisation of crime and conspiracy to commit crime","Number","6"
"Recorded crime incidents","2018","Perverting the course of justice","Number","27"
"Recorded crime incidents","2018","Offences while in custody, breach of court orders","Number","16350"
"Recorded crime incidents","2019","Homicide offences","Number","64"
"Recorded crime incidents","2019","Murder","Number","32"
"Recorded crime incidents","2019","Manslaughter","Number","6"
"Recorded crime incidents","2019","Infanticide","Number","0"
"Recorded crime incidents","2019","Dangerous driving leading to death","Number","26"
"Recorded crime incidents","2019","Sexual offences","Number","3360"
"Recorded crime incidents","2019","Rape of a male or female","Number","853"
"Recorded crime incidents","2019","Defilement of a boy or girl less than 17 years old","Number","199"
"Recorded crime incidents","2019","Sexual offence involving mentally impaired person","Number","21"
"Recorded crime incidents","2019","Aggravated sexual assault","Number","11"
"Recorded crime incidents","2019","Sexual assault (not aggravated)","Number","1772"
"Recorded crime incidents","2019","Other sexual offences","Number","504"
"Recorded crime incidents","2019","Attempts/threats to murder, assaults, harassments and related offences","Number","21839"
"Recorded crime incidents","2019","Murder-attempt","Number","27"
"Recorded crime incidents","2019","Threat to kill or cause serious harm","Number","1250"
"Recorded crime incidents","2019","Harassment and related offences","Number","1698"
"Recorded crime incidents","2019","Assault causing harm, poisoning","Number","5047"
"Recorded crime incidents","2019","Other assault","Number","13817"
"Recorded crime incidents","2019","Dangerous or negligent acts","Number","8703"
"Recorded crime incidents","2019","Dangerous driving causing serious bodily harm","Number","41"
"Recorded crime incidents","2019","Driving/in charge of a vehicle while over legal alcohol limit","Number","6561"
"Recorded crime incidents","2019","Driving/in charge of a vehicle under the influence of drugs","Number","1265"
"Recorded crime incidents","2019","Endangerment with potential for serious harm/death","Number","233"
"Recorded crime incidents","2019","Abandoning a child, child neglect and cruelty","Number","319"
"Recorded crime incidents","2019","Unseaworthy/dangerous use of boat or ship","Number","3"
"Recorded crime incidents","2019","False alarm/interference with aircraft or air transport facilities","Number","3"
"Recorded crime incidents","2019","Endangering traffic offences","Number","278"
"Recorded crime incidents","2019","Kidnapping and related offences","Number","127"
"Recorded crime incidents","2019","False imprisonment","Number","87"
"Recorded crime incidents","2019","Abduction of person under 16 years of age","Number","21"
"Recorded crime incidents","2019","Human trafficking offences","Number","19"
"Recorded crime incidents","2019","Robbery, extortion and hijacking offences","Number","2344"
"Recorded crime incidents","2019","Robbery of an establishment or institution","Number","634"
"Recorded crime incidents","2019","Robbery of cash or goods in transit","Number","35"
"Recorded crime incidents","2019","Robbery from the person","Number","1367"
"Recorded crime incidents","2019","Blackmail or extortion","Number","153"
"Recorded crime incidents","2019","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","155"
"Recorded crime incidents","2019","Burglary and related offences","Number","16749"
"Recorded crime incidents","2019","Aggravated burglary","Number","274"
"Recorded crime incidents","2019","Burglary (not aggravated)","Number","16140"
"Recorded crime incidents","2019","Possession of an article (with intent to burgle, steal, demand)","Number","335"
"Recorded crime incidents","2019","Theft and related offences","Number","68181"
"Recorded crime incidents","2019","Theft/taking of vehicle and related offences","Number","4746"
"Recorded crime incidents","2019","Theft from person","Number","4305"
"Recorded crime incidents","2019","Theft from shop","Number","24677"
"Recorded crime incidents","2019","Other thefts, handling stolen property","Number","34453"
"Recorded crime incidents","2019","Fraud, deception and related offences","Number","7922"
"Recorded crime incidents","2019","Controlled drug offences","Number","21308"
"Recorded crime incidents","2019","Importation of drugs","Number","28"
"Recorded crime incidents","2019","Cultivation or manufacture of drugs","Number","193"
"Recorded crime incidents","2019","Possession of drugs for sale or supply","Number","4779"
"Recorded crime incidents","2019","Possession of drugs for personal use","Number","15594"
"Recorded crime incidents","2019","Other drug offences","Number","714"
"Recorded crime incidents","2019","Weapons and Explosives Offences","Number","2687"
"Recorded crime incidents","2019","Explosives, chemical weapons offences","Number","80"
"Recorded crime incidents","2019","Discharging a firearm","Number","96"
"Recorded crime incidents","2019","Possession of a firearm","Number","209"
"Recorded crime incidents","2019","Offensive weapons offences (n.e.c.)","Number","2096"
"Recorded crime incidents","2019","Fireworks offences","Number","206"
"Recorded crime incidents","2019","Damage to property and to the environment","Number","21918"
"Recorded crime incidents","2019","Arson","Number","1588"
"Recorded crime incidents","2019","Criminal damage (not arson)","Number","20171"
"Recorded crime incidents","2019","Litter offences","Number","159"
"Recorded crime incidents","2019","Public order and other social code offences","Number","32390"
"Recorded crime incidents","2019","Disorderly conduct","Number","27955"
"Recorded crime incidents","2019","Trespass offences","Number","2275"
"Recorded crime incidents","2019","Liquor licensing offences","Number","525"
"Recorded crime incidents","2019","Prostitution offences","Number","111"
"Recorded crime incidents","2019","Regulated betting/money, collection/trading offences","Number","124"
"Recorded crime incidents","2019","Social code offences (n.e.c.)","Number","1400"
"Recorded crime incidents","2019","Offences against government, justice procedures and organisation of crime","Number","18073"
"Recorded crime incidents","2019","Offences against government and its agents","Number","250"
"Recorded crime incidents","2019","Organisation of crime and conspiracy to commit crime","Number","13"
"Recorded crime incidents","2019","Perverting the course of justice","Number","61"
"Recorded crime incidents","2019","Offences while in custody, breach of court orders","Number","17749"
"Recorded crime incidents","2020","Homicide offences","Number","72"
"Recorded crime incidents","2020","Murder","Number","31"
"Recorded crime incidents","2020","Manslaughter","Number","2"
"Recorded crime incidents","2020","Infanticide","Number","1"
"Recorded crime incidents","2020","Dangerous driving leading to death","Number","38"
"Recorded crime incidents","2020","Sexual offences","Number","3082"
"Recorded crime incidents","2020","Rape of a male or female","Number","810"
"Recorded crime incidents","2020","Defilement of a boy or girl less than 17 years old","Number","225"
"Recorded crime incidents","2020","Sexual offence involving mentally impaired person","Number","12"
